,Province,City,Street,Neighbourhood,Price,Bed,Bath,Size,room
155,ON,Toronto,31 Daleside Crescent,Victoria Village,998000.0,3,3,,6
156,ON,Toronto,36 Arcadian Circle,Long Branch,1998800.0,Apts-2 To 5 Units4542 sqft,Nan,0-0,0
157,ON,Toronto,146 Sexton Crescent,Hillcrest Village,998000.0,4+2,5,,11
158,ON,Toronto,17 Blackstone Street,Rustic,1399990.0,4,5,1500-2000,9
159,ON,Toronto,52 Duggan Avenue,Yonge-St. Clair,1895000.0,4,3,2500-3000,7
160,ON,Toronto,331 Royal York Road N,Mimico,1299000.0,3,3,,6
161,ON,Toronto,100 Alcorn Avenue,Yonge-St. Clair,1749000.0,3,1,,4
162,ON,Toronto,659 Euclid Avenue,Palmerston-Little Italy,2518000.0,4+1,3,,8
163,ON,Toronto,9 Sorauren Avenue,Roncesvalles,1799000.0,3+2,2,2000-2500,7
164,ON,Toronto,35 Day Avenue,Corso Italia-Davenport,1459000.0,3,2,,5
165,ON,Toronto,2 Leita Court,Edenbridge-Humber Valley,1299900.0,4+2,3,1500-2000,9
166,ON,Toronto,191 Gladstone Avenue,Little Portugal,998000.0,2+1,2,,5
167,ON,Toronto,50 Foxley Street,Trinity-Bellwoods,1799000.0,Investment1950 sqft,Nan,0-0,0
168,ON,Toronto,736 Richmond Street W,Niagara,1199000.0,3,2,1500-2000,5
169,ON,Toronto,331 Royal York Road,Mimico,1299000.0,3,3,2500-3000,6
170,ON,Toronto,52-75 Elder Avenue,Long Branch,1249000.0,3,2,1500-2000,5
171,ON,Toronto,54 Fenelon Drive,Parkwoods-Donalda,919000.0,3,3,1000-1500,6
172,ON,Toronto,856 St Clarens Avenue,Dovercourt-Wallace Emerson-Junction,1349900.0,3+1,4,2000-2500,8
173,ON,Toronto,339 Bain Avenue,North Riverdale,1370000.0,3,3,,6
174,ON,Toronto,298 Manning Avenue,Trinity-Bellwoods,1199000.0,3,2,,5
175,ON,Toronto,228 Shuter Street,Moss Park,999999.0,3+1,2,,6
176,ON,Toronto,18 Sorauren Avenue,Roncesvalles,2460000.0,4+1,5,2500-3000,10
177,ON,Toronto,1039 Bathurst Street,Annex,2195000.0,8+4,12,,24
178,ON,Toronto,15 Connaught Avenue,Greenwood-Coxwell,1199000.0,2,3,,5
179,ON,Toronto,5 Winnifred Avenue,South Riverdale,999999.0,2,2,1000-1500,4
180,ON,Toronto,87 Gloucester Street,Church-Yonge Corridor,3995000.0,3,4,2500-3000,7
181,ON,Toronto,474 St Johns Road,Runnymede-Bloor West Village,1999900.0,6+2,3,2000-2500,11
182,ON,Toronto,5-389 The West Way,Willowridge-Martingrove-Richview,899900.0,4,2,,6
183,ON,Toronto,369 Milverton Boulevard,Danforth,998800.0,3+1,2,,6
184,ON,Toronto,58 Mcnairn Avenue,Lawrence Park North,3495000.0,8,4,,12
185,ON,Toronto,27 Lantos Court,Downsview-Roding-CFB,999888.0,3,2,,5
186,ON,Toronto,110 St Johns Road,Junction Area,999000.0,3,2,,5
187,ON,Toronto,3-1255 Bridletowne Circle,L'Amoreaux,899000.0,3+1,3,0-0,7
188,ON,Toronto,99 Marjory Avenue,South Riverdale,1090000.0,3+2,3,,8
189,ON,Toronto,851 Ellesmere Road,Dorset Park,799000.0,3+1,2,,6
190,ON,Toronto,124 Ascot Avenue,Corso Italia-Davenport,1050000.0,3+1,3,,7
191,ON,Toronto,216 Keele Street,High Park North,2998000.0,Apts-6 To 12 Units4052 sqft,Nan,0-0,0
192,ON,Toronto,60 Chamberlain Avenue,Briar Hill-Belgravia,1199000.0,3+1,2,,6
193,ON,Toronto,5 Quantrell Trail,Malvern,899000.0,3+2,3,,8
194,ON,Toronto,15 Balmoral Avenue,Yonge-St. Clair,3450000.0,2+1,4,3000-3500,7
195,ON,Toronto,5 Markdale Avenue,Humewood-Cedarvale,3925000.0,8+3,8,,19
196,ON,Toronto,7 Rushley Drive,Bendale,888000.0,3+1,2,,6
197,ON,Toronto,57 Hillsdale Avenue W,Yonge-Eglinton,1699000.0,4+2,4,1500-2000,10
198,ON,Toronto,31 Sergio Marchi Street,Downsview-Roding-CFB,949999.0,3,4,1500-2000,7
199,ON,Toronto,21 Fernwood Park Avenue,The Beaches,2379000.0,2+1,3,,6
200,ON,Toronto,31 Wiggens Court,Malvern,899900.0,3,2,0-0,5
201,ON,Toronto,112 Pricefield Road,Rosedale-Moore Park,3495000.0,3+1,4,2000-2500,8
202,ON,Toronto,1102 Pape Avenue,Broadview North,1249900.0,3+1,3,,7
203,ON,Toronto,39 Major Street,University,2349900.0,3+1,4,2000-2500,8
204,ON,Toronto,177 Logan Avenue,South Riverdale,1599000.0,3,2,1500-2000,5
205,ON,Toronto,A-2 Chauncey Avenue,Islington-City Centre West,1799000.0,3+1,4,2500-3000,8
206,ON,Toronto,267 Finch Avenue E,Willowdale East,1468000.0,3+1,3,,7
207,ON,Toronto,94 Argyle Street,Trinity-Bellwoods,1999000.0,3+1,4,,8
208,ON,Toronto,15 Luscombe Lane,Church-Yonge Corridor,1890000.0,3,2,1500-2000,5
209,ON,Toronto,51 Sundial Crescent,Victoria Village,999000.0,4,3,,7
210,ON,Toronto,719 Lansdowne Avenue,Dovercourt-Wallace Emerson-Junction,1100000.0,3,1,,4
211,ON,Toronto,84 Weybourne Crescent,Lawrence Park South,5295000.0,4+1,5,3500-5000,10
212,ON,Toronto,435 Brock Avenue,Dufferin Grove,2199000.0,3+1,4,,8
213,ON,Toronto,59 Thurston Road,Mount Pleasant East,1425000.0,3,2,,5
214,ON,Toronto,1010 Woodbine Avenue,Danforth,1199000.0,3+1,3,,7
215,ON,Toronto,356 Walmer Road,Casa Loma,4500000.0,8+8,8,,24
216,ON,Toronto,104 Shaftesbury Avenue,Rosedale-Moore Park,1949000.0,3+1,2,1000-1500,6
217,ON,Toronto,1-871 Sheppard Avenue W,Bathurst Manor,1499000.0,3+1,3,1500-2000,7
218,ON,Toronto,202 Dairy Drive W,Clairlea-Birchmount,1099000.0,3+1,3,2000-2500,7
219,ON,Toronto,139 Greenwood Avenue,Greenwood-Coxwell,1369000.0,4+1,3,,8
220,ON,Toronto,86 Winchester Street,Cabbagetown-South St. James Town,2599000.0,4+2,5,,11
221,ON,Toronto,205 Finch Avenue E,Willowdale East,1198000.0,4+1,3,1500-2000,8
222,ON,Toronto,42 Penhurst Avenue,Stonegate-Queensway,1499000.0,4+2,3,,9
223,ON,Toronto,29 Shirley Street,Little Portugal,1499800.0,3+2,3,,8
224,ON,Toronto,466 Wellesley Street E,Cabbagetown-South St. James Town,2799000.0,2+2,4,,8
225,ON,Toronto,123 Rogers Road,Oakwood-Vaughan,1188888.0,3+1,3,,7
226,ON,Toronto,47 Bradstone Square,Malvern,799000.0,3+2,3,,8
227,ON,Toronto,116 Dollery Court,Westminster-Branson,1199000.0,3,3,2000-2500,6
228,ON,Toronto,281 Laird Drive,Leaside,1495000.0,2+1,2,,5
229,ON,Toronto,10 Winnifred Avenue,South Riverdale,1200000.0,2,1,,3
230,ON,Toronto,8 Tamola Park,Humber Summit,1509990.0,3,3,2000-2500,6
231,ON,Toronto,96 Northcote Avenue,Little Portugal,1549999.0,3+1,3,1500-2000,7
232,ON,Toronto,346 Jarvis Street,Church-Yonge Corridor,1549000.0,3+1,3,2000-2500,7
233,ON,Toronto,419 Manning Avenue,Palmerston-Little Italy,2350000.0,5+3,5,,13
234,ON,Toronto,80 Curzon Street,South Riverdale,1328000.0,2,1,,3
235,ON,Toronto,75 Tecumseth Street,Niagara,1988000.0,3+1,3,2000-2500,7
236,ON,Toronto,567 Pape Avenue,Blake-Jones,1788000.0,3+1,4,1500-2000,8
237,ON,Toronto,69 Sussex Avenue,University,2900000.0,6+3,4,,13
238,ON,Toronto,60 Churchill Avenue,Trinity-Bellwoods,2999999.0,3+1,4,,8
239,ON,Toronto,852 Bathurst Street,Annex,2200000.0,3,3,,6
240,ON,Toronto,6 Prospect Street,Cabbagetown-South St. James Town,1680000.0,4,3,,7
241,ON,Toronto,197 Royal York Road,Mimico,2599000.0,Apts-2 To 5 Units5000 sqft,Nan,0-0,0
242,ON,Toronto,304 Crawford Street,Trinity-Bellwoods,2820000.0,4,4,,8
243,ON,Toronto,285 Lisgar Street,Little Portugal,2250000.0,4,3,,7
244,ON,Toronto,168 Elder Street,Bathurst Manor,1499000.0,7,5,,12
245,ON,Toronto,39 Moutray Street,Little Portugal,2699000.0,3+2,5,2500-3000,10
246,ON,Toronto,17 Purvis Crescent,Malvern,999900.0,3+2,3,,8
247,ON,Toronto,44 Braemar Avenue,Yonge-Eglinton,1985000.0,4,2,2000-2500,6
248,ON,Toronto,118 Mimico Avenue,Mimico,1499000.0,4+2,3,,9
249,ON,Toronto,47 Strader Avenue,Oakwood-Vaughan,1689000.0,4+1,4,2500-3000,9
250,ON,Toronto,483 Oakwood Avenue,Oakwood-Vaughan,1174900.0,5+1,5,,11
251,ON,Toronto,183 Donlands Avenue,Danforth Village-East York,1250000.0,3,3,,6
252,ON,Toronto,457 Roncesvalles Avenue,Roncesvalles,2200000.0,2,3,,5
253,ON,Toronto,277 Gilmour Avenue,Junction Area,1799000.0,3+2,3,0-0,8
254,ON,Toronto,38 Sarah Jackson Crescent,Downsview-Roding-CFB,1069000.0,3,3,1500-2000,6
255,ON,Toronto,457 Queen Street E,Moss Park,1299000.0,4,2,1500-2000,6
256,ON,Toronto,59 Innes Avenue,Corso Italia-Davenport,1299000.0,3+1,2,1500-2000,6
257,ON,Toronto,671 Huron Street,Annex,2988888.0,3+1,5,2000-2500,9
258,ON,Toronto,33 Lonsdale Road,Yonge-St. Clair,3750000.0,4,5,2500-3000,9
259,ON,Toronto,117 William Duncan Road,Downsview-Roding-CFB,1499000.0,4+1,5,,10
260,ON,Toronto,1057 Bathurst Street,Annex,3998000.0,4+4,3,,11
261,ON,Toronto,161 Berry Road,Stonegate-Queensway,3498000.0,Apts-6 To 12 Units8400 sqft,Nan,0-0,0
262,ON,Toronto,966 St Clarens Avenue,Corso Italia-Davenport,989000.0,3,2,0-0,5
263,ON,Toronto,224 Cosburn Avenue,East York,849900.0,1+1,2,,4
264,ON,Toronto,11 Rose Avenue,Cabbagetown-South St. James Town,5395000.0,8+3,10,,21
265,ON,Toronto,39 Tarragona Boulevard,Junction Area,1298000.0,4,3,,7
266,ON,Toronto,159 Boultbee Avenue,Blake-Jones,1699000.0,3+1,5,1500-2000,9
267,ON,Toronto,280 Lisgar Street,Little Portugal,1950000.0,4+2,6,,12
268,ON,Toronto,180 Drayton Avenue,Woodbine Corridor,1318000.0,3,2,,5
269,ON,Toronto,116 Twenty Second Street,Mimico,2688000.0,6+3,6,,15
270,ON,Toronto,207 Cowan Avenue,South Parkdale,6995000.0,9+4,14,,27
271,ON,Toronto,723 Dovercourt Road,Palmerston-Little Italy,1345000.0,2,2,,4
272,ON,Toronto,106 King Street,Weston,1800000.0,3,3,,6
273,ON,Toronto,103 Chatsworth Drive,Lawrence Park South,4000000.0,8+2,6,,16
274,ON,Toronto,18 Mallon Avenue,South Riverdale,1699000.0,3,2,,5
275,ON,Toronto,1086 Queen Street W,Niagara,2495999.0,Store W/apt/office2995 sqft,Nan,0-0,0
276,ON,Toronto,107 William Duncan Road,Downsview-Roding-CFB,1399000.0,3,3,2500-3000,6
277,ON,Toronto,1032 Davenport Road,Wychwood,1999999.0,5,3,,8
278,ON,Toronto,78 Amelia Street,Cabbagetown-South St. James Town,2399000.0,4+1,4,3000-3500,9
279,ON,Toronto,130 Baldwin Street,Kensington-Chinatown,2288800.0,8+2,4,,14
280,ON,Toronto,46 Shaftesbury Avenue,Rosedale-Moore Park,4388000.0,3+1,4,2000-2500,8
281,ON,Toronto,166 Caledonia Road,Corso Italia-Davenport,1399900.0,5+2,5,,12
282,ON,Toronto,15 Rebecca Street,Trinity-Bellwoods,1375000.0,2,2,,4
283,ON,Toronto,308 Merton Street,Mount Pleasant West,1649900.0,3,3,,6
284,ON,Toronto,86 Gainsborough Road,Woodbine Corridor,1399900.0,Apts-2 To 5 Units2605 sqft,Nan,0-0,0
285,ON,Toronto,90 Gainsborough Road,Woodbine Corridor,1499900.0,Apts-2 To 5 Units2585 sqft,Nan,0-0,0
286,ON,Toronto,13 Oaklands Avenue,Yonge-St. Clair,2495000.0,5,1,2000-2500,6
287,ON,Toronto,1041 Birchmount Road,Ionview,6600000.0,9+9,14,0-0,32
288,ON,Toronto,281 George Street,Moss Park,1880000.0,6+2,4,2500-3000,12
289,ON,Toronto,667 Manning Avenue,Annex,3800000.0,Apts-2 To 5 Units4995 sqft,Nan,0-0,0
290,ON,Toronto,165 St Clair Avenue E,Rosedale-Moore Park,4680000.0,9+7,10,,26
291,ON,Toronto,732 Avenue Road,Forest Hill South,3995000.0,8,4,,12
292,ON,Toronto,1103 College Street,Little Portugal,1899000.0,2,5,2000-2500,7
293,ON,Toronto,483 Ontario Street,Cabbagetown-South St. James Town,3228800.0,4,3,,7
294,ON,Toronto,MAIN UN-2977 Lawrence Ave E Avenue,Bendale,1899000.0,8,4,,12
295,ON,Toronto,163 Brunswick Avenue,University,2290000.0,7,3,,10
296,ON,Toronto,82 Lanark Avenue,Oakwood-Vaughan,1788000.0,4+1,3,,8
